r,r_dB,eta,M,gamma,sigma,var_exact,rate_per_mode,shots_resolve,fit_slope,fit_R2
0.0,0.0,0.1,32,0.1,1.0,6.126394348305293e-05,0.29389333245105953,0.055137549134747624,-0.24131396797318233,0.981071878251632
0.0,0.0,0.1,50,0.1,1.0,3.657477503145009e-07,0.29389333245105953,0.00032917297528305074,-0.24131396797318233,0.981071878251632
0.3,2.606,1.0,1,1.822118800390509,1.0,0.13272264135890643,1.372896141679075,119.45037722301576,-1.3659919149727924,0.9999321785811218
0.3,2.606,1.0,2,1.822118800390509,1.0,0.04964112771391737,1.372896141679075,44.677014942525624,-1.3659919149727924,0.9999321785811218
0.3,2.606,1.0,4,1.822118800390509,1.0,0.003909422915228207,1.372896141679075,3.5184806237053854,-1.3659919149727924,0.9999321785811218
0.3,2.606,1.0,8,1.822118800390509,1.0,1.6940288323329378e-05,1.372896141679075,0.015246259490996438,-1.3659919149727924,0.9999321785811218
0.3,2.606,1.0,16,1.822118800390509,1.0,2.8849445407396866e-10,1.372896141679075,2.5964500866657175e-07,-1.3659919149727924,0.9999321785811218
0.3,2.606,1.0,32,1.822118800390509,1.0,8.32302130139527e-20,1.372896141679075,7.490719171255741e-17,-1.3659919149727924,0.9999321785811218
0.3,2.606,1.0,50,1.822118800390509,1.0,1.5414841804737224e-30,1.372896141679075,1.3873357624263499e-27,-1.3659919149727924,0.9999321785811218
0.3,2.606,0.9,1,1.5153288839263928,1.0,0.13443446593309072,1.2871691511950987,120.99101933978163,-1.279267796518278,0.9999055777639262
0.3,2.606,0.9,2,1.5153288839263928,1.0,0.05614894873320872,1.2871691511950987,50.53405385988784,-1.279267796518278,0.9999055777639262
0.3,2.606,0.9,4,1.5153288839263928,1.0,0.005404870394258562,1.2871691511950987,4.864383354832706,-1.279267796518278,0.9999055777639262
0.3,2.606,0.9,8,1.5153288839263928,1.0,3.356045649539298e-05,1.2871691511950987,0.030204410845853676,-1.279267796518278,0.9999055777639262
0.3,2.606,0.9,16,1.5153288839263928,1.0,1.1371628169901451e-09,1.2871691511950987,1.0234465352911305e-06,-1.279267796518278,0.9999055777639262
0.3,2.606,0.9,32,1.5153288839263928,1.0,1.293198795062579e-18,1.2871691511950987,1.163878915556321e-15,-1.279267796518278,0.9999055777639262
0.3,2.606,0.9,50,1.5153288839263928,1.0,1.1206681210240113e-28,1.2871691511950987,1.00860130892161e-25,-1.279267796518278,0.9999055777639262
0.3,2.606,0.7,1,1.0231402979570619,1.0,0.13359228965881473,1.1087925214370373,120.23306069293322,-1.0981930784411935,0.9998051002800065
0.3,2.606,0.7,2,1.0231402979570619,1.0,0.07031255893297203,1.1087925214370373,63.28130303967482,-1.0981930784411935,0.9998051002800065
0.3,2.606,0.7,4,1.0231402979570619,1.0,0.01036624140635167,1.1087925214370373,9.3296172657165,-1.0981930784411935,0.9998051002800065
0.3,2.606,0.7,8,1.0231402979570619,1.0,0.00013828418831665157,1.1087925214370373,0.12445576948498639,-1.0981930784411935,0.9998051002800065
0.3,2.606,0.7,16,1.0231402979570619,1.0,1.9733898489238055e-08,1.1087925214370373,1.7760508640314247e-05,-1.0981930784411935,0.9998051002800065
0.3,2.606,0.7,32,1.0231402979570619,1.0,3.8961961874269764e-16,1.1087925214370373,3.506576568684278e-13,-1.0981930784411935,0.9998051002800065
0.3,2.606,0.7,50,1.0231402979570619,1.0,8.372907979323316e-25,1.1087925214370373,7.5356171813909825e-22,-1.0981930784411935,0.9998051002800065
0.3,2.606,0.5,1,0.6456563062257954,1.0,0.1236149559773736,0.9094643801264268,111.25346037963621,-0.8943854104402053,0.9995300880655195
0.3,2.606,0.5,2,0.6456563062257954,1.0,0.08428868816634548,0.9094643801264268,75.85981934971092,-0.8943854104402053,0.9995300880655195
0.3,2.606,0.5,4,0.6456563062257954,1.0,0.020238568425253827,0.9094643801264268,18.21471158272844,-0.8943854104402053,0.9995300880655195
0.3,2.606,0.5,8,0.6456563062257954,1.0,0.0006552991489719302,0.9094643801264268,0.589769234074737,-0.8943854104402053,0.9995300880655195
0.3,2.606,0.5,16,0.6456563062257954,1.0,4.77707125754259e-07,0.9094643801264268,0.00042993641317883306,-0.8943854104402053,0.9995300880655195
0.3,2.606,0.5,32,0.6456563062257954,1.0,2.2950118660359593e-13,0.9094643801264268,2.065510679432363e-10,-0.8943854104402053,0.9995300880655195
